Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	1	100	Song	MX	0	0.00036927	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	2	100	Song	US	0	0.00160747	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	3	100	Song	BR	0	0.00154901	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	3	100	Song	US	0	0.00241120	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Lovely Kiss (Jynx Anthem)	QT6HJ2550178	199934859904	3	100	Song	US	0	0.00241120	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Magic Bounce (Hatterene Master)	QZFZ42608026	199934859904	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Mean Look (Gothitelle Cut)	QZFZ42608025	199934859904	7	100	Song	BR	0	0.00361437	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Mean Look (Gothitelle Cut)	QZFZ42608025	199934859904	6	100	Song	US	0	0.00482241	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Banned Badge (Intro)	QZFZ42608024	199934859904	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Staryu Starmie (Aqua Jet Ver.)	QT6E92532422	199749539367	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Staryu Starmie	QZZ7M2531032	199749539367	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Lavender's a Death Game (Gengar Version)	QZZ7Q2546918	199735974219	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	iTunes Match	Kirbai	Lavender's a Death Game (Haunter Version)	QZZ7Q2546917	199735974219	1	100	Song	US	0	0.00080373	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto (Foreign Metamon Ver.)	QZFZ42650066	821300992303	1	100	Song	PT	0	0.00298504	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto (Foreign Metamon Ver.)	QZFZ42650066	821300992303	3	100	Song	MX	0	0.00728265	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto (Foreign Metamon Ver.)	QZFZ42650066	821300992303	1	100	Song	SV	0	0.00207017	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto (Foreign Metamon Ver.)	QZFZ42650066	821300992303	13	100	Song	US	0	0.05531470	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	2	100	Song	CH	0	0.01183626	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	1	100	Song	ES	0	0.00407670	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	3	100	Song	IT	0	0.02041050	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	11	100	Song	GB	0	0.13652820	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	9	100	Song	MX	0	0.02861575	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	1	100	Song	SV	0	0.00207017	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	205	100	Song	US	0	1.13257645	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	2	100	Song	UY	0	0.00963811	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Just a Ditto	QZFZ42650065	821300992303	1	100	Song	VN	0	0.00117255	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	9	100	Song	CH	0	0.05975073	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	4	100	Song	CL	0	0.00716249	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	1	100	Song	CO	0	0.00143198	0.00000000
